variable,case,original,neatnet,neatnet-buildings
avg_degree,Aleppo,0.6827289108171308,0.9107447606019675,0.9121700075523475
avg_degree,Auckland,0.43937514407806244,0.8034782833048262,0.8274478774791058
avg_degree,Bucaramanga,0.6751857647135717,0.911149329589225,0.9132283115702894
avg_degree,Douala,0.5784271993582468,0.956305686834454,0.9577458145573499
avg_degree,Liège,0.6384951863162336,0.8493211999752949,0.8566199759660348
avg_degree,Salt Lake City,0.39666776536137793,0.6921841761480465,0.6968420928881456
avg_degree,Wuhan,0.6121582458148562,0.7287281492197426,0.7399659608572661
coordinate_count,Aleppo,0.8376591223190304,0.9156818268320718,0.9203850030819153
coordinate_count,Auckland,0.7272155592275011,0.7827288914995614,0.8217100280963776
coordinate_count,Bucaramanga,0.8269665255958498,0.9094252702376646,0.9217317758267976
coordinate_count,Douala,0.7716430083851714,0.9574005067427811,0.9646857207837336
coordinate_count,Liège,0.8173629006694677,0.8622904630187479,0.8704999417303358
coordinate_count,Salt Lake City,0.6521743771424178,0.715908506866809,0.7205769753672326
coordinate_count,Wuhan,0.6283993994565378,0.6949023792259528,0.699651041399439
edge_count,Aleppo,0.635280298320186,0.9418764999123472,0.9417684878214867
edge_count,Auckland,0.40328314557607714,0.8235067846463631,0.8495055944316956
edge_count,Bucaramanga,0.439914089847784,0.9233419252800034,0.9359326466961457
edge_count,Douala,0.46484352151315933,0.9734217994996417,0.9780151991027816
edge_count,Liège,0.5757332366355103,0.8615209718885198,0.8721132580802005
edge_count,Salt Lake City,0.3979228937481537,0.7814056357947302,0.7919838812188971
edge_count,Wuhan,0.46278567734275633,0.736018275465766,0.7383910786383403
edge_length,Aleppo,0.8751603441024759,0.9377989809719323,0.9396926662284529
edge_length,Auckland,0.8648174025823714,0.7877802873764728,0.8308765458995578
edge_length,Bucaramanga,0.8955239865365812,0.957250572763977,0.9641857313947831
edge_length,Douala,0.9257657224718765,0.9649324068487917,0.9724427087919023
edge_length,Liège,0.828329001586797,0.8582106472972761,0.8637463405026482
edge_length,Salt Lake City,0.6317316842172589,0.7668545661907353,0.7775210979212765
edge_length,Wuhan,0.6472103903734278,0.7347855465841947,0.7335372825425199
node_count,Aleppo,0.48102724770131944,0.9521165585813569,0.9510530487933619
node_count,Auckland,0.27226551119445663,0.830235420056888,0.8440111826578977
node_count,Bucaramanga,0.2828046282847966,0.9285571955968044,0.933176847455129
node_count,Douala,0.3693979727716802,0.9728824886835519,0.9764101115400945
node_count,Liège,0.46469675133963284,0.8684639112579926,0.8791997918866926
node_count,Salt Lake City,0.2546062749194431,0.7323735379230969,0.7392072930209919
node_count,Wuhan,0.3385992800244879,0.7787987627589874,0.7841356508727537
stroke_count,Aleppo,0.8781249048656375,0.9345877728780705,0.9335172431621437
stroke_count,Auckland,0.7256173928288203,0.7941980648611966,0.824670226388445
stroke_count,Bucaramanga,0.8926117155170115,0.9352363820326073,0.9441050850038848
stroke_count,Douala,0.9292926659877784,0.9649676955963402,0.9720372280577332
stroke_count,Liège,0.8183399191908547,0.8623870005281027,0.8684634355998198
stroke_count,Salt Lake City,0.6458786026081716,0.7561459898947086,0.7665423114406849
stroke_count,Wuhan,0.6591543887831663,0.7193073680520561,0.7233819057390904
stroke_length_max,Aleppo,0.8723858574167045,0.8662008352062952,0.8785567141024406
stroke_length_max,Auckland,0.8191290609764694,0.7520302621402729,0.7845977767911698
stroke_length_max,Bucaramanga,0.9133751530917106,0.8796173924934596,0.8893759934908495
stroke_length_max,Douala,0.9306212334904177,0.9161892836303349,0.9279779061314841
stroke_length_max,Liège,0.8505704101822769,0.8186195210420213,0.8311313169076787
stroke_length_max,Salt Lake City,0.7787404733402478,0.731901592363833,0.7523178780820287
stroke_length_max,Wuhan,0.8787484899135073,0.736171553159383,0.736963403301067
stroke_length_sum,Aleppo,0.8411344265599894,0.7995266687112645,0.8192397213581023
stroke_length_sum,Auckland,0.7262232355847069,0.5988667416305407,0.6091804553350094
stroke_length_sum,Bucaramanga,0.8870583517770706,0.8404006147381763,0.8511109659845715
stroke_length_sum,Douala,0.8737837514936144,0.8233836329663432,0.8390995751450757
stroke_length_sum,Liège,0.7831791505592642,0.7148582381673185,0.742534415712622
stroke_length_sum,Salt Lake City,0.5666521613255051,0.531373708809502,0.5640989594069148
stroke_length_sum,Wuhan,0.7524052384920342,0.5799704107765009,0.5795149010000835
