variable,case,original,cityseer,osmnx,parenx-voronoi,parenx-skeletonize,neatnet
avg_degree,Aleppo,0.6827289108171308,0.8171011414364302,0.7321295843383173,0.8466305273366096,0.7674411553020293,0.9107447606019675
avg_degree,Auckland,0.43937514407806244,0.690335804498714,0.4982374266034244,0.7425052947543687,0.7167678890356048,0.8034782833048262
avg_degree,Bucaramanga,0.6751857647135717,0.7577656701249545,0.6940274288921315,0.8628450376353488,0.8358698904409722,0.911149329589225
avg_degree,Douala,0.5784271993582468,0.8215966248232904,0.6643042429308811,0.8982440596358648,0.7878989593489271,0.956305686834454
avg_degree,Liège,0.6384951863162336,0.7770492242760391,0.6570535591115956,0.8056656989552107,0.7646799396555624,0.8493211999752949
avg_degree,Salt Lake City,0.39666776536137793,0.571708379682671,0.44320049926867267,0.6000009447136672,0.44103451335688704,0.6921841761480465
avg_degree,Wuhan,0.6363711764794575,0.7053703816912438,0.6565322185284628,0.6961126565945338,0.5941947890187772,0.6818860537100861
coordinate_count,Aleppo,0.8376591223190304,0.8833121619898534,0.8744910227767068,0.8155593793789504,0.6094634816050666,0.9156818268320718
coordinate_count,Auckland,0.7272155592275011,0.8016534823210949,0.7538801008338074,0.6313591468274395,0.5255746800259935,0.7827288914995614
coordinate_count,Bucaramanga,0.8269665255958498,0.8436932267164856,0.8299181200071992,0.8086818719598371,0.6015635388099151,0.9094252702376646
coordinate_count,Douala,0.7716430083851714,0.9004383113345279,0.8691936313299717,0.7637707617345468,0.5879187854389556,0.9574005067427811
coordinate_count,Liège,0.8173629006694677,0.8475360530575508,0.8282675800876192,0.7340458055246821,0.5140450485461132,0.8622904630187479
coordinate_count,Salt Lake City,0.6521743771424178,0.7052720264407304,0.7117635636728814,0.4966758841670751,0.4828373358039624,0.715908506866809
coordinate_count,Wuhan,0.7222124492362304,0.7387216573190355,0.7507708819792565,0.6659683034925936,0.44375702057944777,0.6168742157248761
edge_count,Aleppo,0.635280298320186,0.8731890798007496,0.8309117972867981,0.8838800828003476,0.8715790245713596,0.9418764999123472
edge_count,Auckland,0.40328314557607714,0.7236538719968095,0.584885274285367,0.8047652991832505,0.8041710859472608,0.8235067846463631
edge_count,Bucaramanga,0.439914089847784,0.8396151547728018,0.6255809743403249,0.868533036547243,0.8562836244575477,0.9233419252800034
edge_count,Douala,0.46484352151315933,0.8971048157650513,0.8033402287214283,0.9347378633973009,0.9230460600959316,0.9734217994996417
edge_count,Liège,0.5757332366355103,0.804240399940966,0.7067709452944266,0.8250961562377757,0.8091982807972894,0.8615209718885198
edge_count,Salt Lake City,0.3979228937481537,0.6576866700992559,0.6264306162360405,0.6251571575305036,0.6119638710127273,0.7814056357947302
edge_count,Wuhan,0.5194255535981797,0.7382004994849669,0.6987273271830676,0.7109388821843611,0.686856506840771,0.6430704117872788
edge_length,Aleppo,0.8751603441024759,0.8734055870344484,0.8737124909504168,0.906335496267911,0.8996326576004603,0.9377989809719323
edge_length,Auckland,0.8648174025823714,0.8650305860886911,0.8616260327272851,0.8639799871323968,0.8480984541855454,0.7877802873764728
edge_length,Bucaramanga,0.8955239865365812,0.8614497303856496,0.8789731255655913,0.8928298119394487,0.8906097551772713,0.957250572763977
edge_length,Douala,0.9257657224718765,0.9384958490791899,0.9106922047004011,0.964109205584757,0.9506382845838866,0.9649324068487917
edge_length,Liège,0.828329001586797,0.8266184054943705,0.8195559414482954,0.8450936943354094,0.8278119079620416,0.8582106472972761
edge_length,Salt Lake City,0.6317316842172589,0.6408052253028038,0.6137868028454787,0.6646675570230774,0.6475349953841762,0.7668545661907353
edge_length,Wuhan,0.7510183736861407,0.72412188929492,0.7424505191596202,0.7008581394645104,0.6897962254015216,0.592874693392011
node_count,Aleppo,0.48102724770131944,0.8828681057570871,0.7512557744136463,0.8883545771561464,0.8696267756512621,0.9521165585813569
node_count,Auckland,0.27226551119445663,0.6733408734414121,0.45171651318694006,0.738061195905388,0.736514134377066,0.830235420056888
node_count,Bucaramanga,0.2828046282847966,0.8313622497756459,0.47443091177032215,0.8893217707759214,0.8746240619851248,0.9285571955968044
node_count,Douala,0.3693979727716802,0.8593406754998515,0.6914856268364419,0.917221757585893,0.8796599261713142,0.9728824886835519
node_count,Liège,0.46469675133963284,0.8038826665650207,0.5766568540040984,0.8225689110730763,0.8005703731376603,0.8684639112579926
node_count,Salt Lake City,0.2546062749194431,0.6301900214330519,0.5291542737550292,0.5877584431636078,0.5549630259154912,0.7323735379230969
node_count,Wuhan,0.39239811752829257,0.7594939343249132,0.6100755477788222,0.7190427875736932,0.6808507389674363,0.6960589406249102
stroke_count,Aleppo,0.8781249048656375,0.8598681651520257,0.8273649641024681,0.8807069686773227,0.8494193911511021,0.9345877728780705
stroke_count,Auckland,0.7256173928288203,0.7385386012824109,0.6516679746623883,0.8122629901589977,0.7314947850499816,0.7941980648611966
stroke_count,Bucaramanga,0.8926117155170115,0.8276457170191707,0.8361004178094403,0.8813375489806371,0.8468524610594991,0.9352363820326073
stroke_count,Douala,0.9292926659877784,0.855325447527995,0.7810619972436684,0.9130354990402566,0.8304295200755547,0.9649676955963402
stroke_count,Liège,0.8183399191908547,0.7951088155994721,0.778909778875876,0.8117627653914039,0.7706243434259328,0.8623870005281027
stroke_count,Salt Lake City,0.6458786026081716,0.6307646378698711,0.5508218306549075,0.6499160444434271,0.5584973467726086,0.7561459898947086
stroke_count,Wuhan,0.7687005385451088,0.7235133542701218,0.6944943233394474,0.7065639298451489,0.6686913530757412,0.6294880127954428
stroke_length_max,Aleppo,0.8723858574167045,0.8433087571043081,0.7371976448827595,0.7575703844216288,0.4506911729616442,0.8662008352062952
stroke_length_max,Auckland,0.8191290609764694,0.7633194321550085,0.6013435128799045,0.6360050470853431,0.3710502056378808,0.7520302621402729
stroke_length_max,Bucaramanga,0.9133751530917106,0.8332745711462359,0.6767875977404412,0.7753906650742268,0.6120593286757795,0.8796173924934596
stroke_length_max,Douala,0.9306212334904177,0.8271052063695592,0.6546503955214458,0.7937771538579437,0.3295327088668901,0.9161892836303349
stroke_length_max,Liège,0.8505704101822769,0.8141154760761936,0.6976040273269135,0.6811236265279099,0.42847419815241494,0.8186195210420213
stroke_length_max,Salt Lake City,0.7787404733402478,0.7715062071831529,0.6039874354730466,0.6421048966614531,0.38036757986000336,0.731901592363833
stroke_length_max,Wuhan,0.9277113074388591,0.7962164489054646,0.6521472254422478,0.683073510750674,0.4568058834239146,0.729094847061468
stroke_length_sum,Aleppo,0.8411344265599894,0.7987125055836521,0.6828256302719954,0.6955604648111778,0.4333943449595141,0.7995266687112645
stroke_length_sum,Auckland,0.7262232355847069,0.6623573504993866,0.542212797440053,0.49749365809322654,0.292323513008105,0.5988667416305407
stroke_length_sum,Bucaramanga,0.8870583517770706,0.7963961991315095,0.6561501392126279,0.7337463262240476,0.5870631652797572,0.8404006147381763
stroke_length_sum,Douala,0.8737837514936144,0.7502734099238023,0.587731228071784,0.6824752638000151,0.3161037037276958,0.8233836329663432
