variable,case,original,cityseer,osmnx,parenx-voronoi,parenx-skeletonize,neatnet
avg_degree,Aleppo,0.6208501296806245,0.9547800650069663,0.8400542305062099,0.9481479557076845,0.9362309330409406,0.9748923076323761
avg_degree,Auckland,0.548424812766833,0.9034793826133376,0.7397985793187876,0.8680668036345944,0.8628011364596808,0.8847052221263035
avg_degree,Bucaramanga,0.4832798894043962,0.916764949707745,0.5979177774672054,0.94744647029677,0.9390579027535091,0.9683835996531294
avg_degree,Douala,0.682463946201573,0.9573142448237797,0.845731244764867,0.9690645675339502,0.9543615187728831,0.9854936046533829
avg_degree,Liège,0.45362217076029265,0.9253667614649798,0.7420421109242732,0.9323517395178404,0.9173266367702693,0.9381936679333925
avg_degree,Salt Lake City,0.5599524440513926,0.8229366116082526,0.7035505373625262,0.8049514149576755,0.7461031191357631,0.8530929864268173
avg_degree,Wuhan,0.6110630219633922,0.8684152920863313,0.7976726105525813,0.8572786319966681,0.8283785965809102,0.8951731237984736
coordinate_count,Aleppo,0.9529574552696646,0.9791352132667356,0.9836729063640635,0.9817358499701515,0.9273091937485014,0.9929796396213302
coordinate_count,Auckland,0.9194642090329066,0.9417699508296244,0.9305388582611183,0.8904762471548973,0.8224325782026249,0.9007240116908908
coordinate_count,Bucaramanga,0.9496036823690668,0.9625831651048455,0.9642701732869529,0.9580786169939544,0.8659440854034184,0.9588061911309446
coordinate_count,Douala,0.9355810910502887,0.9716133467740382,0.9725490555500241,0.9570944192151128,0.8738116133633997,0.9924188899256412
coordinate_count,Liège,0.922542979255989,0.9353777645455512,0.9435624952305769,0.9342125862969266,0.8530257813530515,0.9584947873506743
coordinate_count,Salt Lake City,0.848044873572047,0.881746407386454,0.9029308106696955,0.7634296208464298,0.7787963210268884,0.8935361031910639
coordinate_count,Wuhan,0.844141136599905,0.8717807808426438,0.8843559546453255,0.8265395338107295,0.7299860322260608,0.8449351585180475
edge_count,Aleppo,0.8906947381600726,0.9859798902709705,0.985738700535709,0.9878049579857873,0.9884404031612903,0.9969757426188258
edge_count,Auckland,0.7337430516771027,0.9083904425920639,0.8883715707384932,0.9465856421984057,0.9523153089268911,0.9611545583315619
edge_count,Bucaramanga,0.7336138996560516,0.9812244837077528,0.9431428250069206,0.9743703297671651,0.9724924404953195,0.9888141994209176
edge_count,Douala,0.7632727934102915,0.9838190239589802,0.9691746771312392,0.9935669262023008,0.9926853409830403,0.9977560917644189
edge_count,Liège,0.8179733248913763,0.9295291392517686,0.9247793538580313,0.9435759608275557,0.9436510886788266,0.9631716545049231
edge_count,Salt Lake City,0.6194787080302561,0.8725660049399384,0.8912000019896269,0.8068343984445225,0.794417532011179,0.9545258231419568
edge_count,Wuhan,0.7349579155040805,0.8921038114694642,0.89477854403569,0.8111946134086891,0.7938019522988986,0.8615450031512382
edge_length,Aleppo,0.9766047530582519,0.9775893266108108,0.9767095630452495,0.9851196912871727,0.985772951038839,0.9941976455612286
edge_length,Auckland,0.9728103952652185,0.9758767590063471,0.9729181762537396,0.9564322601311843,0.9516848692889549,0.8830368817887086
edge_length,Bucaramanga,0.9841755427758352,0.9807895403866904,0.9835497098642471,0.9854133017023725,0.9853850570173268,0.9846913644863335
edge_length,Douala,0.9869472887292253,0.9872942376153868,0.9862983850989981,0.9954271579984355,0.9950814382548725,0.9951119676689475
edge_length,Liège,0.9338730515887119,0.9373036794219011,0.9342807651991543,0.9536795223547507,0.9541212856890577,0.9519346657496726
edge_length,Salt Lake City,0.8373991365072604,0.8398409639694749,0.8387647658012225,0.8696798862304971,0.8750607161225235,0.914783618850728
edge_length,Wuhan,0.8613623541340683,0.8545362607596864,0.8601267175277462,0.8570905743486718,0.8559993458626043,0.836511197529718
node_count,Aleppo,0.7922981274786826,0.9821700151336412,0.9738273438786837,0.9850355877989023,0.9851817927788612,0.9964999716397369
node_count,Auckland,0.6318801956049602,0.8844906240111787,0.7908339119920103,0.91088559189755,0.9165874986419996,0.9559934379141883
node_count,Bucaramanga,0.6551451314007269,0.9691179224640956,0.8629026571970223,0.970485317611335,0.9645082047275642,0.9830524003232588
node_count,Douala,0.6649955694960199,0.97377078159599,0.9209939921170487,0.9895242880431367,0.9817534857678043,0.9969396242678965
node_count,Liège,0.7452411366641385,0.9090961990333458,0.8588073343656768,0.9281861845218304,0.926848262616891,0.9559078909410186
node_count,Salt Lake City,0.48745550985365443,0.8786968311344938,0.8250470562897885,0.8099816808075074,0.7773432020952072,0.9392330919441625
node_count,Wuhan,0.6245687069675936,0.8929642304338661,0.854430367084518,0.790844560996545,0.7579743910526986,0.8601012742021928
stroke_count,Aleppo,0.9817155222599278,0.9676805810198275,0.9689777424376669,0.9813887920448269,0.9788069136772024,0.9950767730285531
stroke_count,Auckland,0.8948639922887294,0.9133088217867917,0.8651537053769659,0.9581508640753573,0.9405070562006399,0.9331196772000058
stroke_count,Bucaramanga,0.9847970189751611,0.9684356212325588,0.9535550996204027,0.9809368521881184,0.9732499584634133,0.984910581698557
stroke_count,Douala,0.981460371980349,0.9684977483131024,0.9403054668590891,0.9880762286239833,0.9697193332085731,0.9952814533230405
stroke_count,Liège,0.9253418300041089,0.9175714886923156,0.9260356617645786,0.9430619441061645,0.9306497842851398,0.9622739080831331
stroke_count,Salt Lake City,0.8600407431631405,0.8410237214876417,0.8029281914746449,0.8542108267507889,0.7857629358853424,0.926200134975393
stroke_count,Wuhan,0.874057524060207,0.8342433184266989,0.8370785768257953,0.830999216680577,0.7814576294488134,0.8681165875789661
stroke_length_max,Aleppo,0.9249735796364393,0.7082127519040022,0.7889421327062007,0.5544911638702686,0.21321351443200848,0.5945481348817717
stroke_length_max,Auckland,0.9252381824605387,0.6719316905896322,0.8562577485215139,0.6260569637678504,0.3016981976827653,0.5718912625621089
stroke_length_max,Bucaramanga,0.9033051623220199,0.620548807774921,0.6739976636882767,0.5300508617821565,0.4173896369294402,0.592495156723735
